date,tid,price,type,amount
1528704136.0,68156303.0,6687.98,0.0,0.0054
1528704141.0,68156313.0,6680.83,1.0,0.1
1528704141.0,68156314.0,6687.79,0.0,0.0054
1528704143.0,68156317.0,6680.83,1.0,0.30425967
1528704144.0,68156318.0,6681.24,1.0,0.2375
1528704144.0,68156319.0,6680.83,1.0,0.09574033
1528704144.0,68156321.0,6680.62,1.0,0.229405
1528704145.0,68156324.0,6679.53,0.0,6.0
1528704146.0,68156326.0,6679.53,0.0,5.0
1528704146.0,68156327.0,6679.53,0.0,5.0
1528704146.0,68156328.0,6687.79,0.0,0.0054
1528704148.0,68156334.0,6687.79,0.0,0.06020467
1528704149.0,68156339.0,6687.79,0.0,0.00582197
1528704150.0,68156340.0,6688.86,0.0,0.01
1528704151.0,68156345.0,6691.28,0.0,0.35
1528704151.0,68156347.0,6691.28,0.0,0.0054
1528704153.0,68156348.0,6691.23,0.0,0.0020329
1528704161.0,68156354.0,6691.2,0.0,0.0054
1528704163.0,68156357.0,6685.02,1.0,0.08226017
1528704163.0,68156358.0,6685.01,1.0,0.34084699
1528704166.0,68156365.0,6691.2,0.0,0.0054
1528704168.0,68156368.0,6691.19,0.0,0.04562386
1528704171.0,68156372.0,6691.19,0.0,0.001
1528704173.0,68156374.0,6685.22,1.0,0.31952268
1528704175.0,68156375.0,6685.22,1.0,0.16927732
1528704175.0,68156376.0,6682.17,1.0,0.01
1528704177.0,68156377.0,6689.88,0.0,0.00835001
1528704181.0,68156381.0,6689.82,0.0,0.0054
1528704183.0,68156383.0,6680.63,1.0,0.0196
1528704183.0,68156385.0,6678.22,0.0,0.0278192
1528704183.0,68156386.0,6678.22,0.0,0.02805994
1528704183.0,68156388.0,6678.22,0.0,0.71
1528704184.0,68156389.0,6678.22,0.0,4.74684532
1528704184.0,68156391.0,6682.61,0.0,0.01620145
1528704184.0,68156392.0,6689.87,0.0,0.03557378
1528704184.0,68156393.0,6691.2,0.0,0.14822477
1528704186.0,68156394.0,6687.26,0.0,0.0054
1528704186.0,68156395.0,6677.92,1.0,0.6
1528704186.0,68156396.0,6676.51,1.0,5.56481683
1528704186.0,68156398.0,6676.51,1.0,2.43518317
1528704187.0,68156399.0,6676.5,1.0,3.0739855
1528704188.0,68156400.0,6676.6,1.0,1.4945
1528704189.0,68156403.0,6674.1,0.0,4.17448779
1528704189.0,68156404.0,6674.55,0.0,0.82551221
1528704191.0,68156416.0,6673.86,1.0,4.4526
1528704191.0,68156417.0,6673.49,1.0,0.08969
1528704191.0,68156418.0,6673.48,1.0,0.74781
1528704191.0,68156420.0,6673.48,1.0,3.57019
1528704191.0,68156421.0,6673.48,1.0,0.504
